audio,transcript
test_sample_3152_noisy,لحظه بعد دقيقتين تلاته هتلاقي مييته اتكبست و هتلاقي إيه غفي الستين ده هي تاخدها
test_sample_1104_clean,اصطالحواه ومن هقول حاجه ساكتير حول
test_sample_1067_clean,
test_sample_3434_noisy,ز
test_sample_3568_noisy,
test_sample_1201_clean,مدام كده كده هتسيبه متفرقش لا مينه يا مصر
test_sample_1643_clean,يروحو ديك يمه حل لمحله أنجح عل مره كتير جديك بيم أحلل تكون حل بق عاك
test_sample_1510_clean,لأنه ناذج الوهاب وهو مسبب الأسباب فليه الفضل والمنه وليه اطاعه
test_sample_3533_noisy,طبعا روحت السمك بتغرت عل ريح الإيه سمك المقت إتغيرت عل روحت دوز نفس عل ريحت الإيه سم فحار هو اسمه كده سم فحان
test_sample_3167_noisy,نوي
test_sample_3194_noisy,ممكن يدخل عل الننس جوه الجوبي عشان يموت إلن انس أو م يبق دخل مش بقرصد إن هو ياكل الطعم
test_sample_3746_noisy,ما هو الراجل ده بيخلص هخش وصماه عليه بطاع الكوس لاف عايز أعمل أو أمل السعيد  أه بعملها بقد كده هتمحتاج رقط نقصه ورقه معينه بيعملهانا فبيعملك بالعقد ده العقدل ده مش في عق ده حقيقي
test_sample_3082_noisy,صاه عمنيه
test_sample_1013_clean,م
test_sample_1404_clean,وأنا بحب كل اللي يحب أمهاته إم اللي مشافش أمه كويس إم
test_sample_1601_clean,لب عليكم
test_sample_3595_noisy,هول بنجوزراه كل محمد صن
test_sample_1533_clean,جلأهل
test_sample_3004_noisy,زي ما انتسبكي يا جماعه هتحط النصوره مع حط عليها قلبتول كده
test_sample_1275_clean,مع السلاع ما
test_sample_3840_noisy,كبنا بيضه مصريه أبجوده كما قروكبيت
test_sample_3900_noisy,صدق من سما الكباب المصري تعال تاني تعال تاني
test_sample_1017_clean,ا
test_sample_3341_noisy,إنا م عظم علي عم أعضتي لو مع أصحابي لولاده عادي بس
test_sample_2972_noisy, كل ورقه كنت بقدمها كنت بفكر فيها هو هيشوفها إزاي
test_sample_1398_clean,
test_sample_1206_clean,فقولت من عكم الليل يا بطه لأخلق نهاره ونعرف إيه بتاع
test_sample_1381_clean,متطلبتنين
test_sample_3814_noisy,تم
test_sample_1675_clean,إتمسك و لا حاجه مصر متنمش إم جفوس مسكإم
test_sample_3854_noisy,بس لازم حد يضحي عشان البق
test_sample_1326_clean,ششير الكبرني باعتبر ما بق خدت حجه يعني لي بالكفن كتيده أهو أه
test_sample_2938_noisy,يعني
test_sample_1395_clean,ربنا يضحكنا بيها أنا وأما يا رب ياربجميعه
test_sample_3896_noisy,البنت لما بتسعل من خيوط في قلبها بتتقطع وبتجاح ومش ع
test_sample_1210_clean,وسمها أي الدكتوره يا دكتور
test_sample_3843_noisy,لو بالمصري مش أقل من ميت ألف جنيه
test_sample_3499_noisy,ر في الحض
test_sample_3382_noisy,بعشبو
test_sample_3008_noisy,يجري في الغي هيولع عل الغي هنورس هتتجوز تفلوس هتوله سته بده ق يجيل لأحساب بشرف أم بشرف أمر ب باتباك ونقلطعوك وتخايوك وا خلي طريق ادبالنا زا يعرفنا الطريق
test_sample_2996_noisy,يأبندده مصريه بجوداء رفعيه
test_sample_3795_noisy,طبعا
test_sample_1577_clean,أه ممكن يتجدد الكافا في ناس تجبال الكفن
test_sample_2942_noisy, و لما فتحت النتايج و بصيتهعل لناس اللي اتقبلوا تسع أشخاص لقيتهم كلهم مش مصريين فانت متخيال إن الفيدو ده تقريبا مكنش ليوي لازمه
test_sample_3411_noisy,أه دهي حاجات بتاعت قلبين تقريبا
test_sample_3350_noisy,
test_sample_3501_noisy,أنا هاخد اللمب كده أقدلها الحب الحب السوي الشو
test_sample_1249_clean,يا خنت إيه
test_sample_3187_noisy,له
test_sample_3894_noisy,حب
test_sample_3286_noisy,بسل أنا عاوز إقراما عايز ورق فلازم أدفع إيه أدفع ضرايي فالناس بتعمل إيه بق بتيجي مثلا عن ناس بديع ول وحقيقي
test_sample_3618_noisy,أنا فلان الفلان مسافر إداليا لزار السياح
test_sample_3642_noisy,ملي مفدرغيش
test_sample_1223_clean,يا خرباتك يا واقلعها حضر يا دكتور
test_sample_1026_clean,متتعملش مع إن كل اللي بيتكلم و كل اللي بيتجال كلام يعني أنت شخصيا ممكن يبقي فيه شخص بيحبك جدا بيحبك جدا أه بس واخد تعليمات إنه يعمل خمسه و عشرين أكاونت عل أفيس ويدخل الش دي حديجه معلش معل معلش معل
test_sample_3357_noisy,جي منام
test_sample_3223_noisy,يا يا رب
test_sample_3450_noisy,  مفيش ده
test_sample_1660_clean,إنه ماجن إنه صنديق إنه مصدري للدين إنه
test_sample_3603_noisy,وبعد كده رفت أنا إنتي شيتمته وزقته هما كده خدني ع جازي
test_sample_3540_noisy,تقرير مثلا خمسه وعشرين سنه
test_sample_1244_clean,خررعاه
test_sample_3610_noisy,دلوقتي هيفتحلك ابلكيشن تاع عبمر إيكس خلاص و هوريك أكله الأكله دي إنت هتمثلها بإشاره لصاحبك لو عرفها تكسوه إنت الاتنين معانا يلا تابع أكل من النوم بس طبق هتقول اسمها
test_sample_1458_clean,ما هو برضو إنسان إنسان بيفكر إنسان لأ أه له خلفيه ثقافيه كافيه إنها تفهم إن اللي بيتجال ده يشمه و وبعد كده خلي بالك قانونا بجا قانونا إصدراء الأديان
test_sample_1207_clean,بس ودي مش أصلا مكنتش ممكن أتجوزها إم ده جداول القبال مينفعش ولا أقول
test_sample_1424_clean,أنا أرأ في لحظ إما أن الموقف الصحيح هو كذا تمام أنا لا بكسب منها كما تعلم
test_sample_3909_noisy,حجز من بلدي لروم وحكس طيران داخلي منروما لمينانه
test_sample_1393_clean,لقيت واجد الحكيم ااستنك ل  ج ه رحمن الله عله رحم الله عليه واسمحل عزي
test_sample_1473_clean,في تيكي إسمه خميس مسميها عل إس
test_sample_3865_noisy,طب إي
test_sample_3505_noisy,من أربع سنين بالظبط كنت لسه مخلص ثانويه عامه ومشطت و مش عارف أعمل إيه
test_sample_3258_noisy,لأ ده أنا عايزه أست عايزه تصلح كام
test_sample_3000_noisy,هتعمل إيه كده طيب
test_sample_3764_noisy,وراطر سار الجرف عشان خاطر دايما هنبمولكم بكل لجديد إن شاء ال
test_sample_3161_noisy,قالك ضربت مراقب وراحه أو قدون الإسم
test_sample_1251_clean, اتفضلم
test_sample_3789_noisy,أكيد موس شيكو متربيه عل الغالي ومستحميه ومنضيفه و الدنيا معاها بزرميت أحسن مننا
test_sample_3236_noisy,في بق ربنا بيكرمك
test_sample_1607_clean,أكلمان
test_sample_1235_clean,ا
test_sample_3763_noisy,ل
test_sample_3917_noisy,لاقي سريه جدا أو بطيج جدا مع ممكن
test_sample_1364_clean,اللي إبن أخده منك الفلس فكدهه
test_sample_1646_clean,عاجاب ريس ولاه الجهدنات إحنا عندنا دساب مكسيار نتدقي معاه كاساه كده ي دوروا سمسك عجاب بتاع مين لليل إحنا بنذكه بي النهار بدور للأثر تعبلني نفش عل اأث تانا بس طب ما أخش شجري يا بوعه أو شوي أهطب أب نخله أو أي حاجه ن فيها بلهي هنا يوم نسي دوره ممتن واها بريت نين قولتلها ا بيت و له الوطنين وماتتقرب ادفعل شجه طيب الله 
test_sample_1602_clean,أنا الدكتور حامد حمد
test_sample_3579_noisy,وضغط عنزير الجرز عشان اللي جايه أحل
test_sample_992_clean,من سن لسبعتاشر ليه الطمع والحرا
test_sample_1049_clean,يأبن كن بشعره دعنه
test_sample_3026_noisy,أنا عملت إيه قعدت أفكر في كل حاجه ممكن السفير يفكر فيه
test_sample_1140_clean,
test_sample_1061_clean,قالك الأرنودي ده بعد مصر ماجرست كل العيش يعني خمست  فركت المازور ه أخدي بالك وعملك الجرس أبو سمنه ده
test_sample_1666_clean,الراح البلد هي موجو
test_sample_3837_noisy,هواللي علي أدبه
test_sample_1232_clean,حت مجزلش  وروح يج
test_sample_1416_clean,اللهم بلغت اللهم فشل سرهموا عليك
test_sample_1537_clean,ده أنا كل سنه ببص في عد الجواز
test_sample_3176_noisy,حضرتك خس مع الفروت خيه
test_sample_3130_noisy, خلاص بتبعتوش إحنا كنا بنمثل بس التليفزيون مصورنالأ منقضيتش عليا لأ
test_sample_3299_noisy,
test_sample_3560_noisy,متشرفي ببحك يوجي بجد مش عارفه عبي جي
test_sample_1519_clean,أم كورسه هو طبعا الإنسان أصل نا
test_sample_3193_noisy,
test_sample_1150_clean,لاقتي كاد سياءه الحمد لله حي الست مكسرتش إنما أنا ككن كان ليا تركيبه معينه 
test_sample_3558_noisy,هتحط هتنقنو بق إيه أدي راس أريحت طريه
test_sample_3870_noisy,ر يلا
test_sample_3826_noisy,طابيه وليا بطلانه
test_sample_3001_noisy,فين
test_sample_3889_noisy,كل الكلام ده لازم ينتده يعني أنا هاخد أجازه مثلا من واحد واحد
test_sample_3442_noisy,رزرع طريقه ده انترحنكي علينا مصر كلها 
test_sample_3712_noisy,عارف عليه فتات أحلام ي أحمد
test_sample_3923_noisy,تمام عاوز إنت تروح أكتر بق تخليهم عشره ين عشره هنا براحتك بس متحاولش لو إنت أول مره متحاولش القد خليها إيه خمستاشر يوم عشر تيام عشان تطنع الكنصر إن انت راجع
test_sample_3369_noisy,
test_sample_1108_clean,قط الكوبايه في
test_sample_3361_noisy,ي يا بابا أعمل إيه
test_sample_2962_noisy,
test_sample_3208_noisy,تاع البلل إنتي طيران أوروبي كل ده مو موجود عل بوجت تقدر تحجز هطلع بق إيه
test_sample_3536_noisy,اللي أنا عايزه أقولهولك إن المكتب ده هيساعرك كتير جدا جدا جدا جدا حت لو إنت عملت الأورق في مكتب بره
test_sample_3117_noisy,
test_sample_1583_clean,الله هم لك الحمد و لك فكر أن أن جعلني سببا لأن الشعر يعمل كده يعني كويس إن الكويس إن الجصيده بتاعت أنا إخوان عملت كده لمرحل إن يزيني عليها في فوج الميه و ستين يعنيجصيب دي حاجه أنا زعلنيش أوكي بجي في شعر يا جماعه بيجي في شع مش مش مش بجي فيه شهم الجخل لأ بيجي في شعب
test_sample_1174_clean,عاد رياما
test_sample_1565_clean,وا الفان اخو
test_sample_3023_noisy, الله ش روح نشوف اللي ناسبك ممكن تلاقي أحلا من
test_sample_1592_clean,و ومكنتش تعرف يعني حب يها ملهاش زع
test_sample_3044_noisy,وليجي كده و إنتي علي نغرب كده بسهر كريم كده كده يعرف  يا رب خيرك الدع اللي إحنا نقول ورا كده إنهم يكون أمن وراجل مقول أمينيا
test_sample_3085_noisy,مساعاديه
test_sample_3065_noisy,
test_sample_1634_clean,طب وعادك
test_sample_2979_noisy,
test_sample_3145_noisy,السلام عليكم ورم الله وبركته يا جماعه عاملين إيه يا رب كلو بخير إحنا هنتكلم النهارده عن حلقه مفيره جدا إن شاء الله و لناس كتير  هتستفادي إن شاء الله
test_sample_2980_noisy,أبشن التاني بق لو مجموعه تعالي بس تقدر تقدم في المنحه الدراسيه متقدمش في أي مناح قدم في المنحه اللي بنزلهاس
test_sample_3070_noisy,إنت بتق عليا بق يعني المكلوب منه البس بد رأسوا عليك قصسبكو
test_sample_3488_noisy,ا مش شاف تنشر ساعه إن أنا مش شايف نفسسل
test_sample_3686_noisy,فالمستخب  هبق عملكو بيدو هصورلكوا الأماكن دي وقعد كده قلتفاد الأماكن فين الأماكن
test_sample_3580_noisy,إحنا معانا يا جماعه عمه دا شاند
test_sample_3439_noisy,علا طبعا سياد الحابا بي حبيبا حبيبه
test_sample_1661_clean,ما كل تبيس في عاض العجوزه و ممكن إم يعني الإنسان بتصناع الظروف
test_sample_1063_clean,
test_sample_3274_noisy,بإسمهي
test_sample_1567_clean,في الناسكده
test_sample_1058_clean,
test_sample_2984_noisy,
test_sample_3232_noisy,بس
test_sample_1595_clean,إن عشتي يا زار لبنيكي عل نهل
test_sample_3550_noisy,س اشتغل زي الفل
test_sample_3388_noisy,
test_sample_1529_clean,هو ده اديك خميس أيوه
test_sample_1228_clean,و إنت جاي تلبسني العمه يعني عشان في معانه اللي خلطتي
test_sample_3043_noisy,لا أ
test_sample_1169_clean,ودي غيزه
test_sample_3314_noisy,إعملي طه بق فول يلا
test_sample_1487_clean,يحصن
test_sample_1147_clean,مش كتير حوالا مليور جنيه
test_sample_1172_clean,إحنا وجاعينا في عرض إيجاب لتعمل
test_sample_3704_noisy,الحض
test_sample_1234_clean,قولتله أه قالي يعني كويس إ
test_sample_1447_clean,فا  فلما نزلنا لاتحاديه كنا سلمين و إن شاء الله ربالعالمين يوم تلاتين سته هننزل سلميين برضو يا رب يا رب ما تحكم عل مصر بالعند
test_sample_1682_clean,بس كده دكتوره بكره أبيا الفدقه وأجبلك عل
test_sample_3231_noisy,مبحبش اكاري  بشح الكواليس والكلام ده خالص
test_sample_1397_clean,أدنها عل المستشف
test_sample_3433_noisy,عج
test_sample_1647_clean,إنتو اللي خلطتوا في مايه قعدي عمي لما خدتوا الفدان ابي رفوت كمال فدان واحد
test_sample_3490_noisy,
test_sample_1608_clean,ق في كلاما 
test_sample_1546_clean,أيوه أنا وقلي شغالين في الأرض
test_sample_2982_noisy,عل فكره أنا اتصورت خلاص
test_sample_1014_clean,فكان مصطف مشارك معاه من لأول في لفكر إيدي كل
test_sample_3400_noisy,
test_sample_1386_clean,فقام جاب الكانكه و السبرتاي
test_sample_3517_noisy,خليني أقولك كام حاجه معينين بص الكلمتين الجين دول أقسم بالله اتحداك تجيبلي زيوم عل إنكنت
test_sample_1177_clean,مفيش حال غير إني أحططله برشام الهل وسديف العصير وفرقش مجواز
test_sample_2939_noisy,
test_sample_1264_clean,أم حاجه الأجب والعلاقه
test_sample_982_clean,دم باتضم
test_sample_3846_noisy,
test_sample_3673_noisy,
test_sample_3419_noisy,لحد دلوقتي من أقل أيوم الحد
test_sample_3355_noisy,وأنا بهزر
test_sample_3922_noisy,لعرضيت كتير
test_sample_3473_noisy,كنا عايزه
test_sample_3484_noisy,عشان تبقوا عارفين المكان بصوا بق أنا هنا في ضهري في ضهري حط القطر
test_sample_3732_noisy,موضوع إنتي إنتي إنتي بإسم الله ما شاء الله تحتيها في جمهوري مصر العربيه يا رب
test_sample_3535_noisy,عايزك تطلبي تكلمي مامتك دلوقتي وتقوليلي يا ما متعمليش غدعه عشان أنا هطلبلك وبرإدكسي معايه ونا ج
test_sample_3064_noisy,
test_sample_3899_noisy,
test_sample_3818_noisy,أ
test_sample_1693_clean,ماجن الأحر اللي كان اللي كان في فتر مرحل الانتخابات
test_sample_3700_noisy,بيسبد كراراتك كلها إنما الحب يحاجه يعيش حاجه تانيه خالص
test_sample_3426_noisy,لكن في ناس بتشتغل م معاش و لا إنجليزي و لا برتغالي و لا كن بيشتغلوا الرزق هيجيلك هيجيلك يعني و لكن بيكون صعب يعني عشان مسهلش الأمور عليك بيكون ص إن إنت ليعني معظم الناس اللي بتتكل إنجليز يتكلم برتوبالي إنت واحده واحده حت لو معاك عربي بس هتحاول الإنجليزي أنا بيدعمك كإان إنت تحاول تله لكن عربي بس دي بتكون صعبه أوي إن إنت مجاف كل الناس بتتكلم إنجليزي في ما تعف فندق في أي شغل  يعني عل الإنجليزه فيكون صعب عليك حت لو عامل حت لو إنت بتشتغل عامل عندك صنعه معينه عمل في حاجه معينه هيكون صعب عليك إن إنت مش هتفهم هو عايز إيهو لا عايز يقولك إيه طعا
test_sample_1688_clean,و بعدين وأه وأنا باقي عند صلاح جايد
test_sample_3599_noisy,عندي تسعه وستين سنه
test_sample_3088_noisy,اللي هو تلاته عن تلات يوم تاريخ كذا تعملها كده تخليه تسريلهم يعني تخليهم كده أربعهم واحد اتنين تلاته أربعه كده تمام
test_sample_3283_noisy,عني
test_sample_1176_clean,و الله أعلم برضو عشان ببجاش أنا برول لكلام أنا مش أنا مش واثق منه أنا معرفش إذا كان هو بالفعل إد تعليمات بلغاء الباليه وإدت تعليمات بإلغا أوبر عايده و إلغت  إد تعليمات مش عارف يعني أيا كان أنا مش أنا مش داخل في  في الحدث بشكل مباشر
test_sample_3445_noisy,خبارك إيه
test_sample_1258_clean,إنتو عامل زي أبوكي ودخول
test_sample_3897_noisy,دخلت انت عنت فو أنا بمتعلي للدكتور قال عدبو شويه فقالنا هجبنا عل بعض فمراب دخل ضربته وخدوني عل الإسم
test_sample_3666_noisy,دلوقتي له و لكن أنا بكلمك دي أول حاجه إنت لو بتفكر تقدم للسفاره
test_sample_3824_noisy,مصر ي آخر ماتشه كانت بتلعب مع مين
test_sample_3123_noisy,
test_sample_3847_noisy, كل هنس شرو بشور سعتهلي والأما وغلات وللبلحنا
test_sample_3366_noisy,
test_sample_3650_noisy, الله فن سبب كتير وحواليكم مإنها أجمل فيديوات إن شاء الل
test_sample_1270_clean,وكانم الناس اللي دعمت الفكره
test_sample_1032_clean,يا رب ما تحكم عل مصر برانس لكن أنا من حاج إني أنزل أنا من حالج إني أنسل أنا منحاجي إن أنا  الفكر الفكر المتعالي اللي عند مسس الرياسه و ألا أظل مصل عل إني لما أتكلم عل مسس الرياسه ميجولش الإخوان المسلمين لأن أنا مش معادل
test_sample_3554_noisy,مين عداي
test_sample_2952_noisy,حاجس خلس تيامص فندو أو بديل أو غزتل للمهم اللي هتلاقيه قدام جحد السين المهم إحنا عاوزينه حكز مبدأي بس عشان خاطر لو شيكه يل هو إسبك إيه يلهو إسمك مكتوب
test_sample_1414_clean,مق أبوس
test_sample_3587_noisy,اللي رايح سياحه بجت طبعا إحنا خلينا نتكلم بصراحه الإحنا عاوزين ناخد التشريعشان نخش لاتحاد اأربعأ و نخش أي ده الله إحنا عايزين إيه نروح
test_sample_3421_noisy,منتهمهف
test_sample_3138_noisy,لأمشي بق سبر أا مشب
test_sample_3036_noisy,عشاك قسم بالله و الله هطلبلك النهارده ا طلب
test_sample_1667_clean,تاكل ميه تتعم عليه وطلع الميه في الأياده صلقه لي أمين لعل العاض
test_sample_1179_clean, لكن ينفع جدا أقوله إن شخص ممل و إنه شخصي كسول
test_sample_3179_noisy,يعني قصدي هاقبه وهعب الناس و أكيد أكيد يعني إن مستو أصل القلبي أكيد شغالع
test_sample_3760_noisy,سط لإدار بالسنه تروح الد
test_sample_3359_noisy,طبقا
test_sample_3241_noisy,
test_sample_3486_noisy,مينفعش تنزل بالمتأخر لاصم تكون معاها معرفش إيه
test_sample_1074_clean,يعني يعني مثلا كيف يهاجم فهشام الجخ بيل واحد من فلول مثلا أه ما هو ما هو في أستاذ وال في في
test_sample_2986_noisy,روح إدرست ع لمانيا مجه أنا متكملش الفيديو ده هتلاقيني سيبمك فيدي في كومينتات اتفرج عليه و في لحد
test_sample_3252_noisy,
test_sample_1360_clean,لالم عليكم نص
test_sample_3438_noisy,بيقطع 
test_sample_3316_noisy,تلاقي بانتحالات أو 
test_sample_3855_noisy,
test_sample_3312_noisy,فرخه هيت فرخ بوس
test_sample_3332_noisy,عندي بيد بيسمي بيسمي بإسمي بكرر أهو عشان خاطر في ناس لي تقولي أنا البيت بإسم أبويا وبتاع هو بسم أبوه مش بإسم
test_sample_3029_noisy,فتي أي حاجه
test_sample_3722_noisy,يعشرين فرصه الليبعد الجايين إن هما يفرشوا حاجتهم طب النهارده النهره لا النهارده لمي السوفاضي عل غير العاده النهارده اعتبر لحد دلوقتي
test_sample_1187_clean,الجانون راجبنا أنا مقالش كده 
test_sample_2966_noisy,تقدروا تتوصلوا عنا لو إنتو قونا في في البروتبال أو لما تعملوا الأوراق ده برضو جمعيه طبعا الحكومه بتوفرلك عمل وبتوفرلك شغل وبتساعدك في الأولاث
test_sample_1497_clean,الأول مدار شبك النقوه
test_sample_1442_clean,ومحمل عل آخر
test_sample_3848_noisy,إزاي يتاخد ازاي
test_sample_3727_noisy,
test_sample_2987_noisy,
test_sample_1069_clean,ده صعبخ وبياخد فييا
test_sample_1425_clean,جايين كلف بق مالا لا جنين تلات أبعماش يال إيه هيه إيه ده ابان دياب ع اتاريسه وتيفه لما باقبو ساس قولنا كلنا بص دانا عل أيانه ب إحنا كنا جبع موتها ماكناش نعنا من بلاد معنا لوا لو لي خمسين جيه ني هتتشو أصل دي بق ما تلع بي لأ يمشيا دخدش رون يك عني
test_sample_3046_noisy,ه
test_sample_1166_clean,وممكن تودي نفسك وفي دهك قدر الله
test_sample_1071_clean,فلم تجد لها لبنا ولم تجد لها ولدا أنا باق وشرع في الهو بعقي سقين الزل أوحي سرين لله أدعي م لن السقي والسق أحزلكم سنبق رغم في لتيكم في هذا الشعب موصوله حبالكم وإن ضعفه
test_sample_3185_noisy,عد تفرح فلقيت ناسبي الشوبا وبقولهم مش حرام اللي إنتو متشوهده باللي لأ البنك وده زارع فحل
test_sample_3658_noisy,حد
test_sample_3190_noisy,إزاي 
test_sample_3121_noisy,بقيت دايما يعني يبق لأ كل مره بحاول إيه
test_sample_1555_clean,إني أمان بنتي وأمام عريس بنتي في يوم من الأيام و أمام أهل مرارتي وأمام عيلتي إني أطلع أنمهم كاثر هل هل هيجي يوم من الأيام ويتجال عل هشام الجخ للي هو كام أقسم بالله العظيم هذا التسدي
test_sample_1649_clean,لا متخابش عليهم
test_sample_3538_noisy,يا ليليا لينيالني ننيلي يا مفرقين منهالا قلول ف حقي ده ينفليل الأس ولا خت حقيقي أياما سبحتن وز إمنش خير حت بتسمترب حت بتسمتر ب مبعدشمن حقي يلمانغني
test_sample_2945_noisy,شامش أيمين هتشوفها ينفع اتقدم فيها أنا شوفت حد منزل الفيديو جايب اتنين مليون مشاهده و اللي بتقبله في المحه اللي كان منزلها تسعه بالظبط
test_sample_1385_clean,إحنا بنستأذ نا بالتعمل
test_sample_3135_noisy,اخما يه في التصوير
test_sample_2960_noisy,ماشي قو
test_sample_1288_clean,ما أنا بحتلي في الروده ولاد
test_sample_3721_noisy,طبعا عشان أحباب ناص صيارين بق الطرعه اللي إحنا جينا عندهدي كده
test_sample_3541_noisy,ممكن يعجبك وممكن معجبكش و لكن ما بنتكلم في موضوع الشغل ده عشان فيه ناس كتير ه دا مفيش شغل لأ في شغل
test_sample_2931_noisy, كلام إيل العامه طول الموقف ي هم
test_sample_3808_noisy,أنعايز أفهم عشان أف أرد عليه
test_sample_3903_noisy,العماره هي الصفره دي شايفانها تحتها محل ملابس ومفروشات
test_sample_980_clean,ودعم
test_sample_3311_noisy,صاحي يا حم هنخش إن شاء الله ول يا رب إتفعلوا بالقير جيلوا 
test_sample_3591_noisy,
test_sample_3822_noisy,و ربنا يدمبلي في إي خير رضعن وطبعا دي إيه
test_sample_3663_noisy,أهلا
test_sample_1178_clean,بنات النهارده صل صلناع بيوصل فوق التلاتين سنه ومش جادر تتجوز
test_sample_3278_noisy,
test_sample_1011_clean,أه متين و خمسين ألف جنيه ابباس
test_sample_1496_clean,شكلي عشان الأستاذ ادوجه يعني
test_sample_1041_clean,لا والله بسأله بجد لا
test_sample_3102_noisy, أنا سعيد إن أنا و الله العظيم بعمل كده وسعيد حاسس إن أنا مش حاسس إن أنا مضرب مس عرف ن بدأت أتكلم معاكو وأنا حاسس فعلا إن أنا مع أهلي وإخواتي
test_sample_3198_noisy,سنا علينا 
test_sample_1547_clean,مخدتش شيف ف حاجه  ل اع كده طيري س ش الجن
test_sample_1430_clean,الدكتوره نصر منصور
test_sample_3504_noisy,بالعقد اتطلع كل الأوراق لنفسك لهو إنت شاطر في اكومبيوتب في الإنجليزي إنت تقدر تحول الأوراق دي كلها بيدي إفه وتقدمها عسس عل الصيف تخش كده تكتب كده عل اجوده
test_sample_3047_noisy,النمره اللي اتي معاكوا بق
test_sample_3072_noisy,تمام هنخش إحنا فين مين أ هقورد أنا بق إيه إنتو عارفين معجود هرجو المكتبه أه أو ما تخش فيه مفيش بالظبط ديقتين
test_sample_1433_clean,كنا بحض أطفال تحركلا مشاعرنا ونسرح في الحكايات التي تروي بطقولتما وأن بلادنا تمتدو من أقص إل عقص وأن حلوبا لا كانت لأزل مسهد الأقص
test_sample_1440_clean,دإحنا أيضا لدينا مثل هقه لأ إم اللي بأثروا في شبابه وكده و إنت م ن تصدمنهم
test_sample_1129_clean,كن ده إنتده إنت علدك ميه عندك ده إنت الأربع مضاق اللي في العالم بتوعك ده إنت يعني يعني تجاره معاك ميه معاك تعديم معاك سياحه مع إنت عايز ي
test_sample_1548_clean,إنتناص إمن نا عند أربعه ولات
test_sample_1256_clean,فدع فدن إن يكون يخوه
test_sample_1307_clean,ل سلا
test_sample_3662_noisy,ي بني
test_sample_1297_clean,ترض في الدم دهه
test_sample_1479_clean,النصيح
test_sample_3798_noisy,من فكر لب
test_sample_3713_noisy,مثلا يعني بتقولك رس
test_sample_3132_noisy,جدا سكا
test_sample_1204_clean,أقوال متناقله يعني مفيهاش يعني مغز تجربه حقيه إذا ع الم الأصيد له
test_sample_1330_clean,
test_sample_3386_noisy,مش طب انف تمندي
test_sample_3509_noisy,أقولك هخد خد
test_sample_3403_noisy,هو مبيطرحلوش بالمترو إتراحله يعني ممكن لو إنت في مكان بتكب المدر بق كابت ركب باسم يعني هو في قطر يعني في مناطق هنا يا جماعه بتركب لها المترو و في مناطق المتر ومبيروحلهاش فتركبلها باص و في مناطق بتركبلها القطر
test_sample_993_clean,بن قال الأكل خاطر يكتر
test_sample_3741_noisy,و لكن في ناس ممكن بتقدم وتاخد أنا أعرف أناقدمت عشر تيام و خمستاشر يوم خمسته تلات شهور
test_sample_3235_noisy,اللي صلا النبي ما شاء الله بيبق واقفين عليها يوميا طوفير
test_sample_1218_clean,ده هو أصلا أبوها يعني عواضيا ده لو في خير مكانش شبابك الكوبايه في الكليدي
test_sample_3884_noisy, نجيب الطلبات ده
test_sample_1527_clean,عليكم السلام و بالبناء
test_sample_3432_noisy,رات كل أهجمع رات كلت إيه جي بكت الأرب ده بجنيه دي الجنيه يا جماعه مفيس ده بي جنيه بص في كام حبايه
test_sample_3464_noisy,معل بمعن معن
test_sample_3788_noisy,أعروف إن دول الاتحاد الأوروبي كلها يعني أنا أنا بكلم نفسي وبكلمكو قصد عال
test_sample_3113_noisy,
test_sample_3414_noisy,اللي هو بالدفاعله و ضرايب ما إحنا لازم ترفع ضرايب مش هيجيلك نوعد من غير مكون إنت متدفعش ضرايب لو الساع خرات مش هيجيلك عور ورقك اتقدي أه بس أكنه متقدمش إسمك ن سجل عل السيسل أه بس أن هيجيلك موعد هو ده مش هتبق خ سنين نعم القانوني
test_sample_3492_noisy,جه استهري و بعدن كده برضو يشعب منيها ولد وجيت بعد كده إتجوز تعري مخلفش منيها سعبها
test_sample_2948_noisy, ممسبتش حاله ياليها عليوت يوب بس أنا يعني أنا عارفه إنها مكان كان الناس اللي بضحك عليه
test_sample_3588_noisy,أنا فكر
test_sample_1293_clean,ماهصوتي و أنا مضحكتهاش و أيام عشتها قبل النهارده مهش عمر أنا معشتهاش
test_sample_3644_noisy,يملك ليه
test_sample_3508_noisy,
test_sample_1243_clean,إن أنا الراجل صعيدي أنا رايس أنا حضرتك أنا جادر أظهر مع حضرتك و الله بأغل ماركات يعني ألبس والله
test_sample_3731_noisy,في حياتك
test_sample_3602_noisy,لسله اتعمل
test_sample_3319_noisy,
test_sample_1045_clean,فلسودان منقسل ول جو لا نومح فل عل فكره الجسيده دي مجاله جبل سبور تونس طلع هوا جبل ثور تولسفي أبو ظبي فلس داله منتصم الولد جولان محتل ولا لبنان من كسر يداو الدرحب الفريده سيخلج من عباعتكم رعاه الله للجمهوري متقده
test_sample_1642_clean,ين عند ربنا ما كيش ما عندي البن
test_sample_3761_noisy,زي مراب نقزل لازم أطلع ل أربع ألف جنيه أعملي معحدرات في لاتين في البويت
test_sample_3916_noisy,إ إنتو بتعمليوه
test_sample_1253_clean,عمل محضر حازت مشي بيدون ترخيص
test_sample_1220_clean,معرفتش دول عمرك هتلقش
test_sample_1391_clean,وكلها كل عفاد الصب
test_sample_3670_noisy,فن
test_sample_3256_noisy,
test_sample_1489_clean,والنوجرشوه
